Ref,Val,Package,PosX,PosY,Rot,Side
"C31","47µ","C_1210_3225Metric",110.270000,-40.000000,0.000000,bottom
"C32","4.7µ","C_0603_1608Metric",125.400000,-69.700000,90.000000,bottom
"C35","4.7µ","C_0603_1608Metric",123.900000,-69.687500,90.000000,bottom
"C36","4.7µ","C_0603_1608Metric",127.800000,-85.912500,270.000000,bottom
"C37","4.7µ","C_0603_1608Metric",119.700000,-86.650000,270.000000,bottom
"C38","470n","C_0402_1005Metric",126.000000,-73.115000,90.000000,bottom
"C39","470n","C_0402_1005Metric",127.315000,-76.300000,0.000000,bottom
"C40","470n","C_0402_1005Metric",120.600000,-76.300000,180.000000,bottom
"C41","470n","C_0402_1005Metric",122.000000,-66.800000,270.000000,bottom
"C42","10n","C_0201_0603Metric",126.800000,-74.900000,90.000000,bottom
"C43","10n","C_0201_0603Metric",123.780000,-76.300000,180.000000,bottom
"C44","470n","C_0402_1005Metric",126.800000,-66.800000,270.000000,bottom
"C45","470n","C_0402_1005Metric",121.200000,-73.100000,90.000000,bottom
"C46","10n","C_0201_0603Metric",125.200000,-74.900000,90.000000,bottom
"C47","10n","C_0201_0603Metric",126.000000,-74.900000,90.000000,bottom
"C48","470n","C_0402_1005Metric",122.800000,-73.100000,90.000000,bottom
"C49","1n","C_0201_0603Metric",122.000000,-74.900000,90.000000,bottom
"C50","1n","C_0201_0603Metric",125.600000,-80.000000,180.000000,bottom
"C51","470n","C_0402_1005Metric",127.100000,-71.200000,180.000000,bottom
"C52","470n","C_0402_1005Metric",123.600000,-66.800000,270.000000,bottom
"C53","470n","C_0402_1005Metric",124.400000,-73.100000,90.000000,bottom
"C54","470n","C_0402_1005Metric",125.200000,-66.815000,270.000000,bottom
"C55","470n","C_0402_1005Metric",120.800000,-70.400000,0.000000,bottom
"C56","470n","C_0402_1005Metric",120.815000,-68.800000,0.000000,bottom
"C57","470n","C_0402_1005Metric",127.100000,-69.600000,180.000000,bottom
"C58","470n","C_0402_1005Metric",128.300000,-72.650000,90.000000,bottom
"C59","1n","C_0201_0603Metric",119.300000,-80.100000,0.000000,bottom
"C60","1n","C_0201_0603Metric",122.800000,-74.900000,90.000000,bottom
"C61","470n","C_0402_1005Metric",131.200000,-80.000000,0.000000,bottom
"C62","10n","C_0201_0603Metric",120.400000,-78.000000,90.000000,bottom
"C63","10n","C_0201_0603Metric",127.220000,-80.000000,180.000000,bottom
"C64","470n","C_0402_1005Metric",123.800000,-79.600000,90.000000,bottom
"C65","10n","C_0201_0603Metric",121.600000,-80.000000,0.000000,bottom
"C66","10n","C_0201_0603Metric",128.800000,-80.000000,0.000000,bottom
"C67","470n","C_0402_1005Metric",122.800000,-79.600000,90.000000,bottom
"C68","100n","C_0402_1005Metric",119.500000,-77.715000,90.000000,bottom
"C69","100n","C_0402_1005Metric",125.585000,-78.100000,180.000000,bottom
"C70","470n","C_0402_1005Metric",119.085000,-67.200000,0.000000,bottom
"C71","470n","C_0402_1005Metric",119.985000,-79.200000,180.000000,bottom
"C72","470n","C_0402_1005Metric",127.915000,-77.600000,180.000000,bottom
"C73","470n","C_0402_1005Metric",119.200000,-72.800000,0.000000,bottom
"C74","470n","C_0402_1005Metric",117.600000,-78.300000,180.000000,bottom
"C75","470n","C_0402_1005Metric",128.785000,-79.200000,0.000000,bottom
"C76","470n","C_0402_1005Metric",126.800000,-64.900000,270.000000,bottom
"C77","470n","C_0402_1005Metric",117.615000,-80.000000,180.000000,bottom
"C78","470n","C_0402_1005Metric",125.585000,-79.100000,180.000000,bottom
"C79","470n","C_0402_1005Metric",128.800000,-67.150000,180.000000,bottom
"C80","4.7µ","C_0603_1608Metric",121.400000,-86.650000,270.000000,bottom
"C81","4.7µ","C_0603_1608Metric",126.200000,-85.912500,270.000000,bottom
"C82","470n","C_0402_1005Metric",121.200000,-64.915000,270.000000,bottom
"C87","470n","C_0402_1005Metric",68.285000,-60.200000,180.000000,bottom
"C89","4.7µ","C_0603_1608Metric",57.500000,-52.800000,90.000000,bottom
"C90","4.7µ","C_0603_1608Metric",57.500000,-49.687500,270.000000,bottom
"C91","470n","C_0402_1005Metric",60.800000,-53.300000,0.000000,bottom
"C92","470n","C_0402_1005Metric",60.800000,-50.800000,0.000000,bottom
"C96","4.7µ","C_0603_1608Metric",64.800000,-61.900000,0.000000,bottom
"C97","470n","C_0402_1005Metric",73.900000,-51.385000,90.000000,bottom
"C98","470n","C_0402_1005Metric",64.600000,-60.200000,0.000000,bottom
"C103","100n","C_0402_1005Metric",108.250000,-117.800000,90.000000,bottom
"C104","100n","C_0402_1005Metric",109.250000,-117.800000,90.000000,bottom
"C105","100n","C_0402_1005Metric",110.750000,-117.800000,90.000000,bottom
"C106","100n","C_0402_1005Metric",111.750000,-117.800000,90.000000,bottom
"C107","10µ","C_0805_2012Metric",160.900000,-101.150000,270.000000,bottom
"C109","10µ","C_0805_2012Metric",155.600000,-95.450000,90.000000,bottom
